i;я;мин
you;ты;син
we;мы;без
they;они;улар
this;это;был
that;тот;теге
to be;быть;булыу
to have;иметь;булыу (эйэ булыу)
to do;делать;эшлэу
say;сказать;эйтэу
go;идти;барыу
get;получать;алыу
make;делать;яhау
know;знать;белеу
think;думать;уйлау
see;видеть;курэу
come;приходить;килэу
want;хотеть;тэлэу
use;использовать;кулланыу
find;находить;табыу
stone;камень;таш
traffic light;светофор;светофор
mountain;гора;тау
road;дорога;юл
car;машина;машина
bus;автобус;автобус
tree;дерево;агас
flower;цветок;сэскэ
house;дом;ой
shop;магазин;кибет
school;школа;мэктеп
hospital;больница;дауахана
park;парк;парк
square;площадь;майдан
bridge;мост;купер
river;река;йылга
lake;озеро;кул
sea;море;диңгеҙ
sky;небо;кук
cloud;облако;болот
sun;солнце;кояш
moon;луна;ай
star;звезда;йондоҙ
rain;дождь;ямгыр
snow;снег;кар
wind;ветер;ел
fog;туман;томан
ice;лёд;боҙ
fire;огонь;ут
smoke;дым;төтөн
dust;пыль;саң
mud;грязь;батҡаҡ
sand;песок;ҡом
rock;скала;ҡая
hill;холм;ҡалҡыу
valley;долина;үҙән
forest;лес;урман
field;поле;ҡыр
garden;сад;баҡса
fence;забор;ҡойма
gate;ворота;ҡапҡа
roof;крыша;түбә
wall;стена;диуар
floor;пол;иҙән
window;окно;тәҙрә
door;дверь;ишек
stairs;лестница;баҫҡыс
balcony;балкон;балкон
garage;гараж;гараж
shed;сарай;һарай
bench;скамейка;эскәмйә
lamp;фонарь;фонарь
light;свет;яҡты
shadow;тень;күләгә
corner;угол;мөйөш
crosswalk;переход;киҫешле юл
sidewalk;тротуар;тротуар
curb;бордюр;бордюр
pole;столб;бағана
sign;знак;билдә
billboard;реклама;реклама
dumpster;мусорка;сүплек
trash;мусор;сүп
bottle;бутылка;шешә
can;банка;ҡумта
bag;пакет;тоҡ
box;коробка;ҡумта
key;ключ;асыҡ
lock;замок;ҡойоҡ
bell;звонок;ҡыңғырау
clock;часы;сәғәт
watch;часы;сәғәт
phone;телефон;телефон
computer;компьютер;компьютер
table;стол;өҫтәл
chair;стул;ултырғыс
bed;кровать;карауат
sofa;диван;диван
sink;раковина;раковина
toilet;туалет;туалет
shower;душ;душ
mirror;зеркало;көҙгө
towel;полотенце;таҫтамал
soap;мыло;һабын
shampoo;шампунь;шампунь
toothbrush;зубная щётка;теш щетка
toothpaste;зубная паста;теш пастаһы
comb;расчёска;тараҡ
razor;бритва;ҡыра
cream;крем;крем
perfume;духи;хуш еҫ
wallet;кошелёк;ҡапсыҡ
money;деньги;аҡса
card;карта;карта
receipt;чек;чек
bag;сумка;сумка
backpack;рюкзак;рюкзак
umbrella;зонт;зонт
glasses;очки;күҙлек
hat;шапка;эшләпә
jacket;куртка;куртка
shirt;рубашка;күлдәк
pants;штаны;салбар
shoes;обувь;аяҡ кейеме
socks;носки;оек
gloves;перчатки;перчатка
